Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID,keywords_cleaned,Main Domain
Suthiksha P.G.; Varshitha S.; Natarajan S.,"Suthiksha, P.G. (59546767800); Varshitha, Sankranthi (59895165100); Natarajan, S. (55912352300)",59546767800; 59895165100; 55912352300,Advanced Offensive Language Detection with mT5 and User-Centric Features,2025,"2025 International Conference on Data Science, Agents and Artificial Intelligence, ICDSAAI 2025",,,,,,,,10.1109/ICDSAAI65575.2025.11011892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007982250&doi=10.1109%2fICDSAAI65575.2025.11011892&partnerID=40&md5=4e662d2cec4d70d4864d20706fce600e,code-mixed text; context interpretation; mT5 model; multilingual content; offensive content identification; social media,Conference paper,Final,,Scopus,2-s2.0-105007982250,"code-mixed text, context interpretation, mt5 model, multilingual content, offensive content identification, social media",Others
Thallapalli D.; Dannina B.; Deepak K.,"Thallapalli, Dhanyasree (59937395000); Dannina, Bhavana (59937036300); Deepak, K. (57215184901)",59937395000; 59937036300; 57215184901,Machine Learning-Driven URL Analysis for Enhanced Threat Detection,2025,"Proceedings - 3rd International Conference on Advancement in Computation and Computer Technologies, InCACCT 2025",,,,593,598,5,0,10.1109/InCACCT65424.2025.11011373,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007658166&doi=10.1109%2fInCACCT65424.2025.11011373&partnerID=40&md5=978326af16fb0f3b2581e9c456398354,Defacement; Machine learning; Online safety awareness; Online security; Phishing Malware; Real-time assessment; threats; URL classification; User-friendly interface,Conference paper,Final,,Scopus,2-s2.0-105007658166,"defacement, machine learning, online safety awareness, online security, phishing malware, real-time assessment, threats, url classification, user-friendly interface",Machine Learning
Abhinandhan S.; Sreedevi A.G.; Saranya G.,"Abhinandhan, S. (57575252300); Sreedevi, A.G. (57209650658); Saranya, G. (57208758125)",57575252300; 57209650658; 57208758125,From Pixels to Truth: Unveiling Deepfakes with a Meso-5 and XceptionNet Fusion Network,2025,Lecture Notes in Networks and Systems,1128 LNNS,,,67,79,12,0,10.1007/978-981-97-7371-8_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213008074&doi=10.1007%2f978-981-97-7371-8_6&partnerID=40&md5=e475b3c9b745c28d3a1d67c3f5ffc900,Deepfake detection; DFDC dataset; Hybrid architecture; Hyper-realistic synthetic visuals; Image detection; Meso-5; Visual threat; XceptionNet,Conference paper,Final,,Scopus,2-s2.0-85213008074,"deepfake detection, dfdc dataset, hybrid architecture, hyper-realistic synthetic visuals, image detection, meso-5, visual threat, xceptionnet",Others
Muthuselvan K.; Sundaravadivoo B.; Munjam S.R.; Nisar K.S.,"Muthuselvan, Kanagaraj (58245351200); Sundaravadivoo, Baskar (58485469600); Munjam, Shankar Rao (56719787600); Nisar, Kottakkaran Sooppy (56715663200)",58245351200; 58485469600; 56719787600; 56715663200,Novel exploration of topological degree method for noninstantaneous impulsive fractional integro-differential equation through the application of filtering system,2025,Fixed Point Theory and Algorithms for Sciences and Engineering,2025,1,1,,,,1,10.1186/s13663-024-00778-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217514793&doi=10.1186%2fs13663-024-00778-x&partnerID=40&md5=a754635f38c3004674de7131aab03147,Fractional differential equation; Gronwall’s inequality; Mild solution; Noninstantaneous impulse; Topological degree method,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85217514793,"fractional differential equation, gronwall’s inequality, mild solution, noninstantaneous impulse, topological degree method",Others
Venkatesh V.S.S.; Ganji P.R.; Kumar S.; Patnaik L.,"Venkatesh, V.S.S. (57219230829); Ganji, Prabhakara Rao (57209204539); Kumar, Sunil (57378147900); Patnaik, Lokeswar (57191823650)",57219230829; 57209204539; 57378147900; 57191823650,Optimization of spark plasma sintered parameters of Al–SiC–kaolin hybrid composite using Taguchi–grey relational analysis,2025,Bulletin of Materials Science,48,1,22,,,,0,10.1007/s12034-024-03378-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217645668&doi=10.1007%2fs12034-024-03378-y&partnerID=40&md5=5561e7f987eb0ca1e66027e1dff32ef3,grey relational analysis; kaolin reinforcement; sintering parameter; Spark plasma sintering; Taguchi optimization,Article,Final,,Scopus,2-s2.0-85217645668,"grey relational analysis, kaolin reinforcement, sintering parameter, spark plasma sintering, taguchi optimization",Mechanical Engineering
Venkatasubramanian K.; Ajay K.; Lingeshwaramoorthy E.,"Venkatasubramanian, K. (59565957200); Ajay, K. (59934322800); Lingeshwaramoorthy, E. (59934495400)",59565957200; 59934322800; 59934495400,Piezoelectric-based Footstep Power Generation for Sustainability,2025,"10th International Conference on Wireless Communications, Signal Processing and Networking, WiSPNET 2025",,,,,,,0,10.1109/WiSPNET64060.2025.11005140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007544236&doi=10.1109%2fWiSPNET64060.2025.11005140&partnerID=40&md5=459bd7ded44055c8eeff54bfbd0b3f50,Energy harvesting; Footstep power generation; Piezoelectric sensor; Sustainable energy,Conference paper,Final,,Scopus,2-s2.0-105007544236,"energy harvesting, footstep power generation, piezoelectric sensor, sustainable energy",Others
Kumar U.; Garg M.; Chaudhary D.,"Kumar, Uddeshaya (57213057877); Garg, Manish (57197593432); Chaudhary, Dharminder (57210165312)",57213057877; 57197593432; 57210165312,Design and analysis of a post-quantum secure three party authenticated key agreement protocol based on ring learning with error for mobile device,2025,Journal of Supercomputing,81,1,9,,,,1,10.1007/s11227-024-06467-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206495493&doi=10.1007%2fs11227-024-06467-1&partnerID=40&md5=a8d5663dc7caa6f8f86a6a951216fb94,Anonymity; Authenticated key agreement; Cryptanalysis; Information security; Ring learning with errors,Article,Final,,Scopus,2-s2.0-85206495493,"anonymity, authenticated key agreement, cryptanalysis, information security, ring learning with errors",Others
Kumar R.; Shringi A.K.; Wood H.J.; Asuo I.M.; Oturak S.; Sanchez D.E.; Sharma T.S.K.; Chaurasiya R.; Mishra A.; Choi W.M.; Doumon N.Y.; Dabo I.; Terrones M.; Yan F.,"Kumar, Rajeev (57211709600); Shringi, Amit Kumar (57219358504); Wood, Hannah Jane (59541056100); Asuo, Ivy M. (56019617700); Oturak, Seda (58718407500); Sanchez, David Emanuel (57863231700); Sharma, Tata Sanjay Kanna (57202079831); Chaurasiya, Rajneesh (56747880100); Mishra, Avanish (57217071759); Choi, Won Mook (7402516232); Doumon, Nutifafa Y. (57126457600); Dabo, Ismaila (12242242000); Terrones, Mauricio (7006100082); Yan, Fei (35622681900)",57211709600; 57219358504; 59541056100; 56019617700; 58718407500; 57863231700; 57202079831; 56747880100; 57217071759; 7402516232; 57126457600; 12242242000; 7006100082; 35622681900,"Substitutional doping of 2D transition metal dichalcogenides for device applications: Current status, challenges and prospects",2025,Materials Science and Engineering R: Reports,163,,100946,,,,2,10.1016/j.mser.2025.100946,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216864905&doi=10.1016%2fj.mser.2025.100946&partnerID=40&md5=ca085734829bd5a0f38cc01830165ff5,Density functional theory; Device; Electronics; Energy; Sensors; Substitutional doping; Transition metal dichalcogenides,Review,Final,,Scopus,2-s2.0-85216864905,"density functional theory, device, electronics, energy, sensors, substitutional doping, transition metal dichalcogenides",Others
V.P C.; Bakthavatchalam B.; J.S J.; Habib K.; Kusekar S.K.,"V.P, Chithra (57201912161); Bakthavatchalam, Balaji (57204704114); J.S, Jayakumar (56077815100); Habib, Khairul (23034500300); Kusekar, Sambhaji Kashinath (59201863000)",57201912161; 57204704114; 56077815100; 23034500300; 59201863000,Conjugate heat transfer analysis of developing region of square ducts for isothermal and isoflux boundary conditions,2025,International Journal of Numerical Methods for Heat and Fluid Flow,35,3,,953,980,27,3,10.1108/HFF-12-2023-0742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002659081&doi=10.1108%2fHFF-12-2023-0742&partnerID=40&md5=f423a9c88cb4d1b28575b9b0f1e9bfcb,Conjugate heat transfer; Entrance region; Nusselt number; OpenFOAM; Square duct; Temperature-dependent property,Article,Final,,Scopus,2-s2.0-105002659081,"conjugate heat transfer, entrance region, nusselt number, openfoam, square duct, temperature-dependent property",Thermal Engineering
Bhonsle M.; Sreenivasulu G.; Chaitanya K.; Raghu D.; Surendra G.; Kumar K.K.; Srinivasa Rao M.; Prabhakar K.; Vuppu V.K.,"Bhonsle, Mansi (57193878780); Sreenivasulu, Gunji (57219697021); Chaitanya, Kilaru (57204341369); Raghu, Dhumpati (59252025200); Surendra, Gunti (59242276700); Kumar, Konduru Kranthi (57198856243); Srinivasa Rao, Mandalapu (58019128500); Prabhakar, Kandukuri (57204769352); Vuppu, Vamsi Krishna (59834477300)",57193878780; 57219697021; 57204341369; 59252025200; 59242276700; 57198856243; 58019128500; 57204769352; 59834477300,Enhancing Security in Wireless Mesh Networks: A Deep Learning Approach to Black Hole Attack Detection,2025,"Advance Sustainable Science, Engineering and Technology",7,1,2501010,,,,0,10.26877/asset.v7i1.1036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004724113&doi=10.26877%2fasset.v7i1.1036&partnerID=40&md5=c8f3a86313730765b9151ab0b555c47b,anomaly detection; attack mitigation; black hole attacks; Cybersecurity; Deep learning; defense mechanisms; Network intrusion; security; wireless mesh networks,Article,Final,,Scopus,2-s2.0-105004724113,"anomaly detection, attack mitigation, black hole attacks, cybersecurity, deep learning, defense mechanisms, network intrusion, security, wireless mesh networks",Cybersecurity
Aishwarya N.; Devisowjanya P.; Shah D.V.; Niharika R.,"Aishwarya, N. (36808965900); Devisowjanya, P. (59720530600); Shah, Deshana Vikas (59720438800); Niharika, Raavi (58028383700)",36808965900; 59720530600; 59720438800; 58028383700,Dragon Fruit Maturity Detection and Quality Grading with Scalable Deep Neural Networks,2025,"3rd International Conference on Intelligent Data Communication Technologies and Internet of Things, IDCIoT 2025",,,,1847,1854,7,0,10.1109/IDCIOT64235.2025.10914783,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001664619&doi=10.1109%2fIDCIOT64235.2025.10914783&partnerID=40&md5=b8ac8fddcbdd574044c3263153caff3c,Machine Learning Classifier; Maturity detection; Pre-trained Model; Quality Grading,Conference paper,Final,,Scopus,2-s2.0-105001664619,"machine learning classifier, maturity detection, pre-trained model, quality grading",Machine Learning
Thenmozhi V.; Bhaskar M.,"Thenmozhi, V. (57216789799); Bhaskar, M. (26422785200)",57216789799; 26422785200,Improved low noise and highly linear 5–6 GHz LNA for Wi-Fi 6/6E-IEEE 802.11ax standard 5G application,2025,Analog Integrated Circuits and Signal Processing,124,2,32,,,,,10.1007/s10470-025-02436-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007902054&doi=10.1007%2fs10470-025-02436-7&partnerID=40&md5=4e2da52aa75c8164f0752d1bb7618d75,CMOS; HEW; Input matching; LNA; Noise figure; Wideband,Article,Final,,Scopus,2-s2.0-105007902054,"cmos, hew, input matching, lna, noise figure, wideband",Others
Chaurasiya R.; Tyagi S.; Kale A.J.; Gupta G.K.; Kumar R.; Dixit A.,"Chaurasiya, Rajneesh (56747880100); Tyagi, Shubham (57617277400); Kale, Abhijeet J. (56421668300); Gupta, Goutam Kumar (57213551085); Kumar, Rajesh (59122759200); Dixit, Ambesh (24070216800)",56747880100; 57617277400; 56421668300; 57213551085; 59122759200; 24070216800,"Advances in Physics and Chemistry of Transition Metal Dichalcogenide Janus Monolayers: Properties, Applications, and Future Prospects",2025,Advanced Theory and Simulations,8,4,2400854,,,,1,10.1002/adts.202400854,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002369297&doi=10.1002%2fadts.202400854&partnerID=40&md5=02f4dcd577099a0c014faa1378a6d3e6,2D materials; janus monolayer; next-generation electronic devices; transition metal dichalcogenides,Review,Final,,Scopus,2-s2.0-105002369297,"2d materials, janus monolayer, next-generation electronic devices, transition metal dichalcogenides",Others
Riyas P.; Lakshmanan S.A.,"Riyas, P. (58196584900); Lakshmanan, S.A. (57213938362)",58196584900; 57213938362,Optimal tuning of PI based LF for three-phase SRF PLL synchronization system using pity beetle algorithm under grid abnormalities,2025,Scientific Reports,15,1,18891,,,,0,10.1038/s41598-025-03530-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006798783&doi=10.1038%2fs41598-025-03530-6&partnerID=40&md5=9dd01e0bcb40dbb0e75f376f263f04e8,,Article,Final,,Scopus,2-s2.0-105006798783,,Others
Karthiga M.; Suganya E.; Sountharrajan S.; Jeyalakshmi J.; Ravindran S.; Mohamaddan S.,"Karthiga, M. (58753938000); Suganya, E. (57194427618); Sountharrajan, S. (57192169178); Jeyalakshmi, J. (55616031400); Ravindran, Sindhu (58655509500); Mohamaddan, Shahrol (36634800200)",58753938000; 57194427618; 57192169178; 55616031400; 58655509500; 36634800200,Optimized Alzheimer disorder classification with DACN-MFFN utilizing OBLDE-TDO enhanced deep neural network features,2025,Biomedical Signal Processing and Control,106,,107729,,,,0,10.1016/j.bspc.2025.107729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219274471&doi=10.1016%2fj.bspc.2025.107729&partnerID=40&md5=4c69b539e98883e0c5cbe78df60ab0e0,Alzheimer disorder; Cognitive function; Multifeature fusion network; Opposition based learning differential evaluation; Optimization techniques,Article,Final,,Scopus,2-s2.0-85219274471,"alzheimer disorder, cognitive function, multifeature fusion network, opposition based learning differential evaluation, optimization techniques",Networks
Srinivasan V.K.; Shanmugam N.; Shanmugam U.; Deepak K.,"Srinivasan, Varun Kishore (59732513500); Shanmugam, Nirmal (59733058100); Shanmugam, Udhayakumar (59733058200); Deepak, K. (57215184901)",59732513500; 59733058100; 59733058200; 57215184901,Exploratory Data Analysis of Phishing URL Detection Using Gradient Boosting Classifier,2025,Communications in Computer and Information Science,2072 CCIS,,,156,171,15,0,10.1007/978-3-031-84062-3_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002384668&doi=10.1007%2f978-3-031-84062-3_13&partnerID=40&md5=b4c123725103f7baa638deceb6e0d68c,ANN; Cat-Boost Classifier; Gradient boosting; Phishing URL; Random Forest Classifier,Conference paper,Final,,Scopus,2-s2.0-105002384668,"ann, cat-boost classifier, gradient boosting, phishing url, random forest classifier",Others
Mohan G.B.; Gayathri M.; Kumar R.P.,"Mohan, G. Bharathi (56026524900); Gayathri, M. (57214302830); Kumar, R. Prasanna (58196810600)",56026524900; 57214302830; 58196810600,Detoxifying language model outputs: combining multi-agent debates and reinforcement learning for improved summarization,2025,Language Resources and Evaluation,,,,,,,0,10.1007/s10579-025-09830-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003841468&doi=10.1007%2fs10579-025-09830-7&partnerID=40&md5=6f7b34ba3de55c16f28742f6988533e0,Adversarial attack; Detoxification; Large language model; Reinforcement learning,Article,Article in press,,Scopus,2-s2.0-105003841468,"adversarial attack, detoxification, large language model, reinforcement learning",Others
Sujitha R.; Gethzi Ahila Poornima I.; Jambulingam U.,"Sujitha, R. (57224421119); Gethzi Ahila Poornima, I. (57213456664); Jambulingam, Umamageswaran (57226549449)",57224421119; 57213456664; 57226549449,Incremental model of relevance in features with healthcare data analytics,2025,Biomedical Signal Processing and Control,104,,107504,,,,0,10.1016/j.bspc.2025.107504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216479866&doi=10.1016%2fj.bspc.2025.107504&partnerID=40&md5=f3e719fca91151c87670f68b10d6ad3a,Apache Spark; Machine Learning; Map reduce; Redundancy; Relevancy,Article,Final,,Scopus,2-s2.0-85216479866,"apache spark, machine learning, map reduce, redundancy, relevancy",Machine Learning
Chellamani G.K.; Aishwarya N.; Chandhana C.; Kaur K.; Babu R.T.S.,"Chellamani, Ganesh Kumar (57140321100); Aishwarya, N. (36808965900); Chandhana, C. (59896089000); Kaur, Kanwaljeet (58909013400); Babu, Rakesh Thoppaen Suresh (59333051100)",57140321100; 36808965900; 59896089000; 58909013400; 59333051100,SpectroFusionNet a CNN approach utilizing spectrogram fusion for electric guitar play recognition,2025,Scientific Reports,15,1,16842,,,,0,10.1038/s41598-025-00287-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005109122&doi=10.1038%2fs41598-025-00287-w&partnerID=40&md5=4bc446b7e9723401646aa936850cc66a,Guitar play recognition; Lightweight deep learning; ML classifiers; Real-time audio processing; Spectrogram fusion,Article,Final,,Scopus,2-s2.0-105005109122,"guitar play recognition, lightweight deep learning, ml classifiers, real-time audio processing, spectrogram fusion",AI
